X,Y,OBJECTID,BUSLIC_LOCATION_ID,DEA_FACILITY_OWNER,DEA_FACILITY_NAME,DEA_BUSINESS_CONTACT,DEA_BUSINESS_PHONE,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,SIGNID
-122.338167749363,47.6063547628009,13128,600948,,UNITED PARKING  4518,JONATHAN DIAMOND,2062843100           ,"1221 1ST AVE, SEATTLE, WA 98101",235,UNITED PARKING  4518,,,,,,,,,,,,,,,N,,,
-122.333593172842,47.5856087056149,13129,595311,,DIAMOND  A873,JONATHAN DIAMOND,2062843100           ,"1910 1ST AVE S, SEATTLE, WA 98134",5,DIAMOND  A873,,,,,,,,,,,,,,,N,,,
-122.333593172842,47.5856087056149,13130,584045,,DIAMOND PARKING  A238,JONATHAN DIAMOND,2062846303           ,"1900 1ST AVE S, SEATTLE, WA 98134",65,DIAMOND PARKING  A238,,,,,,,,,,,,,,,N,,,
-122.38434001425,47.6692585872695,13131,637235,,DIAMOND PARKING  WU88,JONATHAN DIAMOND,2062843100           ,"5512 22ND AVE NW, SEATTLE, WA 98107",25,DIAMOND PARKING  WU88,,,,,,,,,,,,,,,N,,,
-122.333714719102,47.5768007447053,13132,671117,,DIAMOND PARKING  A414,JONATHAN DIAMOND,2062843100           ,"2930 1ST AVE S, SEATTLE, WA 98134",23,DIAMOND PARKING  A414,,,,,,,,,,,,,,,N,,,
-122.297008549234,47.5773456662088,13133,689415,,DIAMOND PARKING  A467,JONATHAN DIAMOND,2062843100           ,"2910 RAINIER AVE S, SEATTLE, WA 98144",25,DIAMOND PARKING  A467,,,,,,,,,,,,,,,N,,,
-122.303644051505,47.6180918813025,13134,741139,,DIAMOND PARKING SERVICES A701,JONATHAN DIAMOND,2062843100           ,"2211 E MADISON ST, SEATTLE, WA 98112-5336",11,DIAMOND PARKING SERVICES A701,,,,,,,,,,,,,,,N,,,
-122.328333347188,47.5889542375704,13135,705180,,IPM  15,JOAN SUNDBERG,2062540811           ,"1550 4TH AVE S, SEATTLE, WA 98134",68,IPM  15,,,,,,,,,,,,,,,N,,,
-122.337256823426,47.6157832232617,13136,668193,,STANDARD PARKING 82190 WEST 8TH,BILL BEATTIE,2063818552           ,"2001 8TH AVE, SEATTLE, WA 98121-2615",444,STANDARD PARKING 82190 WEST 8TH,,,,,,,,,,,,,,,N,,,
-122.334935728297,47.6112527950368,13137,596082,,520 PIKE TOWER GARAGE 82199,BILL BEATTIE,2063818552           ,"520 PIKE ST, SEATTLE, WA 98101-1385",263,520 PIKE TOWER GARAGE 82199,,,,,,,,,,,,,,,N,,,
